Contributor,Commits,Added,Deleted,Repos
DoctorJohn,51,436,129,1
brunoherbelin,4,229,129,1
Chocobo1,48,194,129,1
gcaguilar,38,158,128,3
Technius,5,102,128,1
nickavem,50,339,128,3
jhaygood86,15,250,128,1
qvshuo,29,370,127,2
rolandlo,11,158,126,1
rhjhunt,35,315,126,1
Vysp3r,42,169,126,1
frdbr,43,359,126,1
D3SOX,39,217,125,1
jiri-one,11,224,125,1
dbrgn,4,58,125,1
hipersayanX,10,241,124,1
NikolasK-source,10,230,124,1
LyzardKing,27,284,124,2
mjakeman,10,207,123,1
Amit0617,25,304,123,2
Elijahrane,11,2411,123,1
phracek,5,311,122,1
whot,22,286,122,2
mtwebster,14,360,122,1
0pendev,25,211,122,1
Moussa,52,169,122,2
mufeedali,7,225,121,2
MrSyabro,5,276,121,1
onpon4,6,52,121,1
SeeLook,24,266,121,2
crepererum,8,266,120,1
mcatanzaro,28,96,119,2
mvainola,28,142,119,4
BryanQuigley,9,262,118,5
AlessandroBono,37,250,118,1
friebetill,17,164,117,1
caspermeijn,25,148,117,2
ADBeveridge,49,128,117,2
Marukesu,3,255,117,1
vivian-ng,15,152,117,1
dubstar-04,13,171,117,1
kusma,12,414,116,2
chaogamer,16,233,116,1
RajSolai,12,260,115,2
cges30901,14,168,115,1
s96Abrar,110,1939,115,14
PanderMusubi,15,113,115,1
jlHertel,19,552,114,1
auroraanna,20,190,113,2
JoseExposito,36,174,113,1
scrivanolabs,41,147,113,1
vdbongard,15,233,113,1
koroshiya,31,619,113,5
PrestonN,36,175,113,1
zorgiepoo,5,205,113,1
vorot93,14,339,113,1
Tykky,22,159,112,1
otsaloma,26,241,112,2
jlafontaine-devolutions,37,287,112,2
mikacousin,21,291,111,1
KitsuneRal,39,128,111,1
Diego-Ivan,48,273,111,3
xsaliniere,9,18707,111,1
Cubitect,17,181,110,1
hugolabe,40,191,110,1
prcastro,10,475,110,3
CapitaineJSparrow,23,241,110,1
dgsasha,39,958,110,1
sp1thas,19,212,110,1
jendrikseipp,35,113,109,1
creepertron95,28,236,109,1
stawidy,28,134,108,2
AmatCoder,7,224,108,1
ymshenyu,7,86,108,1
dimkr,50,128,108,1
mil,20,278,108,1
zehkira,18,342,107,1
nrittsti,7,149,106,1
robschi,10,167,106,1
peerchemist,28,230,106,1
gabibbo97,9,151,105,3
attipaci,37,157,104,1
gkeep,27,276,104,1
youkai-pl,7,284,104,2
giacomogroppi,33,179,103,1
dennajort,15,209,103,1
SolarLiner,11,69,103,1
tintou,11,363,102,4
winehub,2,6,102,1
wengxt,16,372,102,2
ngelsi,7,283,102,1
miDeb,15,162,102,1
timway,11,207,102,1
bmillemathias,19,780,102,2
aviwad,16,159,102,1
oscfdezdz,19,125,101,7
pcercuei,27,286,100,4
nouspiro,15,245,100,1
raggesilver,17,173,98,1
HelpSeeker,14,238,98,1
roypen,11,4777,98,1
limads,8,166,98,1
cjao,3,178,98,2
ntonnaett,21,180,97,1
stuartlangridge,13,230,97,3
pizzadude,27,228,96,12
outergod,7,191,96,1
DeedleFake,19,156,96,1
HugLifeTiZ,13,152,95,9
cyberphantom52,11,153,95,1
Sinihopea,11,304,94,1
gicmo,14,342,94,2
ergoithz,16,189,94,1
jacquetc,39,155,94,1
MartinPesek,13,101,93,1
nathandyer,9,98,93,2
dfandrich,6,204,93,1
ltiber,3,147,93,1
nicolasfella,19,728,93,6
vulpes2,16,248,91,6
gal20,3,87,91,1
Dark98,7,301,91,1
batashi,4,188,91,1
BiteDasher,21,820,91,1
l-n-s,12,212,91,1
marlam,10,424,90,3
soyersoyer,19,140,90,1
bertob,33,182,90,1
ovari,14,258,90,3
riscygeek,14,117,90,1
CodeMouse92,15,279,89,2
andrunko,13,679,89,4
tfuxu,3,75,89,1
Micheus,3,125,89,1
gipawu,11,139,89,2
daudix-UFO,1,19,87,1
rickykresslein,8,135,87,1
yajo,25,908,87,5
jorchube,32,165,87,1
eminfedar,11,119,86,1
bitseater,15,282,86,1
aScordino,2,86,86,1
noonsleeper,81,169,86,1
wojciech-graj,9,115,86,1
00EkZ8,19,288,85,1
jannuary,10,36,85,3
claucambra,19,199,84,1
ranisalt,5,17,84,5
Akaricchi,3,298,84,1
hhanh00,12,173,83,1
amikha1lov,43,370,83,2
RogerCrocker,25,142,83,1
tsmock,12,158,83,1
Emersont1,21,113,83,1
aaorszulak,7,173,82,1
tmontaigu,3,14,82,1
PerryWerneck,8,124,81,1
torikulhabib,44,605,81,1
tomcoldrick-ct,9,17,81,5
roshanshariff,10,80,78,1
cmfwyp,3,54,78,3
takluyver,24,368,77,5
alexhuntley,26,218,77,1
jliljebl,16,87,77,1
NeroBurner,10,58,77,2
Marko10-000,12,211,77,3
michaelrsweet,16,181,77,1
PaperNick,1,14,77,1
hillcrestpaul0719,21,262,76,2
losuler,30,354,76,2
lsfxz,19,130,76,1
Keyikedalube,9,113,76,1
nexryai,47,163,76,1
justusranvier,9,260,76,1
stobbsm,8,160,76,1
anpopa,14,116,76,1
electronstudio,9,130,76,1
raibtoffoletto,11,152,75,1
gholmlund,10,105,75,1
Yvan-Masson,19,311,74,1
SubhadeepJasu,9,126,73,1
simonxciv,11,170,73,1
Sesu8642,5,126,73,1
LucasXu0,12,195,73,1
t-paul,15,306,73,1
justinvforvendetta,16,204,73,1
behrisch,8,10,72,1
ptitjano,29,82,71,2
maevemi,10,136,71,1
ChugunovRoman,7,228,71,1
MartinBriza,40,130,70,3
jerrivaldo,17,118,70,1
yktoo,9,218,70,1
callaa,19,94,70,1
Elinvention,4,58,70,2
XRenSiu,24,224,70,1
hotlittlewhitedog,19,303,70,1
cedk,19,213,70,1
tobias-hammerschmidt,13,79,69,1
fkrull,14,488,69,2
overheadhunter,3,6,69,1
kra-mo,11,203,68,1
tooomm,40,118,68,1
natesales,4,130,68,1
rndevfx,11,97,68,1
bitwig-buildbot,29,96,67,1
bancika,39,67,67,1
JonMagon,7,111,67,1
vega-d,25,249,67,2
nahuelwexd,28,243,66,10
bcedu,18,132,66,2
Mastermindzh,4,10800,66,1
anxolerd,15,826,66,1
andyhubbert941,34,96,66,1
sielicki,8,168,65,3
petebuffon,13,140,65,1
BharatKalluri,22,163,65,2
bcrochet,6,68,65,1
carlos157oliveira,20,202,64,1
inercia,19,307,64,1
miguelmota,37,201,64,1
kendellfab,8,272,64,1
fsobolev,27,209,64,2
abma,21,109,63,2
DarhonSoftware,18,139,62,2
pontaoski,13,102,62,1
OverloadedOrama,15,63,62,1
emiljoha,13,141,62,1
d4nj1,17,134,61,1
starnight,6,79,61,3
loganmc10,23,327,61,3
Bananaman,5,11,61,1
igaldino,17,316,61,2
JayDoubleu,12,340,61,2
ufleisch,6,40,61,1
GZYangKui,13,122,60,1
fabrialberio,14,96,60,1
0x1a8510f2,31,3762,60,1
davidarnold,18,155,59,1
lainsce,44,97,59,7
realmazharhussain,31,110,59,1
zhrexl,19,98,59,1
sgehrman,22,232,58,1
jmeloranta,18,173,58,1
SimonKindhauser,9,96,58,1
FlorianLudwig,2,17,57,1
hwittenborn,11,135,57,1
