Contributor,Commits,Added,Deleted,Repos
babluboy,21,296,155,1
christianrauch,21,481,740,3
mikacousin,21,291,111,1
LeSnake04,21,6255,1102,2
amtlib-dot-dll,21,685,53,4
jstebbins,21,728,479,2
neatdecisions,21,345,171,1
abma,21,109,63,2
peterge1998,21,88,18,1
hillcrestpaul0719,21,262,76,2
expatjedi,21,475,148,3
SilverRainZ,21,25,23,1
equeim,21,143,47,1
ntonnaett,21,180,97,1
alex-tee,21,144,57,1
BiteDasher,21,820,91,1
Emersont1,21,113,83,1
felinira,20,7997,3478,1
MightyCreak,20,67,41,3
auroraanna,20,190,113,2
carlos157oliveira,20,202,64,1
marhkb,20,266,182,1
marin-m,20,83,37,1
fxha,20,422,225,1
sixpounder,20,1468,1371,1
mil,20,278,108,1
neovali,20,327,214,2
doccaz,20,163,52,1
Tim453,20,1250,1136,1
kate-shine,20,384,174,2
ShobuPrime,20,871,217,1
4ian,20,213,55,1
Miepee,20,1253,392,5
jakobjakobson13,20,111,174,4
infeo,20,634,552,1
xduugu,20,1230,32214,4
frhun,20,653,279,2
nintyfan,20,180,148,1
floers,19,109,41,2
claucambra,19,199,84,1
oscfdezdz,19,125,101,7
mwleeds,19,259,317,4
inercia,19,307,64,1
adnan449,19,100,35,2
chenzhiwei,19,268,141,2
00EkZ8,19,288,85,1
Syping,19,158,133,1
DeedleFake,19,156,96,1
stethewwolf,19,186,220,1
Yvan-Masson,19,311,74,1
soyersoyer,19,140,90,1
lnjX,19,56,133,1
aklsh,19,386,265,2
Pointedstick,19,878,364,6
dsboger,19,128,50,1
MrMYHuang,19,74179,62904,1
zhrexl,19,98,59,1
adhami3310,19,4441,294,1
lsfxz,19,130,76,1
sp1thas,19,212,110,1
callaa,19,94,70,1
ender672,19,433,228,1
WerWolv,19,72,132,1
jlHertel,19,552,114,1
amolenaar,19,923,773,1
bmillemathias,19,780,102,2
hotlittlewhitedog,19,303,70,1
nicolasfella,19,728,93,6
